"Date","Sales","Tracked Sales","Anonymous Sales"
11/24/2017,$150963085.98,$150957333.13,$5752.85
11/25/2017,$84684058.25,$84680458.05,$3600.20
11/26/2017,$60968351.74,$60966383.84,$1967.90
11/27/2017,$121076290.24,$121071836.84,$4453.40
11/28/2017,$47997899.18,$47996086.11,$1813.07
11/29/2017,$41122330.53,$41120043.70,$2286.83
11/30/2017,$46828631.07,$46826032.03,$2599.04
12/1/2017,$41197950.65,$41197015.53,$935.12
12/2/2017,$43331694.76,$43331284.33,$410.43
12/3/2017,$49979355.35,$49977084.29,$2271.06
12/4/2017,$43980826.72,$43978199.37,$2627.35
12/5/2017,$43399166.04,$43398111.65,$1054.39
12/6/2017,$44644284.03,$44641559.20,$2724.83
12/7/2017,$44943892.46,$44942600.35,$1292.11
12/8/2017,$44021503.18,$44019492.86,$2010.32
12/9/2017,$55340477.58,$55338897.82,$1579.76
12/10/2017,$68454247.33,$68451739.56,$2507.77
12/11/2017,$80560276.23,$80558160.96,$2115.27
12/12/2017,$49658843.03,$49655921.90,$2921.13
12/13/2017,$46296811.00,$46295035.36,$1775.64
12/14/2017,$33533124.38,$33529751.09,$3373.29
12/15/2017,$38126058.37,$38124699.66,$1358.71
12/16/2017,$35082671.08,$35081576.70,$1094.38
12/17/2017,$42270233.77,$42267085.76,$3148.01
12/18/2017,$35041114.54,$35040118.48,$996.06
12/19/2017,$41333671.40,$41331527.92,$2143.48
12/20/2017,$37964142.50,$37962195.05,$1947.45
12/21/2017,$20343533.75,$20341051.37,$2482.38
12/22/2017,$16809329.18,$16808890.24,$438.94
12/23/2017,$18568383.85,$18567964.87,$418.98
12/24/2017,$13573450.57,$13573089.54,$361.03
12/25/2017,$15373687.64,$15373242.04,$445.60
12/26/2017,$28866223.76,$28865078.18,$1145.58
12/27/2017,$25547678.05,$25546943.70,$734.35
12/28/2017,$23301419.34,$23301029.26,$390.08
12/29/2017,$25551532.26,$25550196.02,$1336.24
12/30/2017,$29331550.44,$29328192.30,$3358.14
12/31/2017,$21048306.08,$21047114.36,$1191.72
